,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,221.6699981689453,223.49000549316406,221.66000366210938,223.49000549316406,223.49000549316406,86000
1,2010-01-05,224.24000549316406,224.39999389648438,222.17999267578125,222.83999633789062,222.83999633789062,153200
2,2010-01-06,223.8300018310547,224.9600067138672,223.52000427246094,224.6699981689453,224.6699981689453,170600
3,2010-01-07,224.22999572753906,224.77000427246094,221.30999755859375,221.30999755859375,221.30999755859375,183400
4,2010-01-08,222.64999389648438,222.80999755859375,219.14999389648438,222.66000366210938,222.66000366210938,157200
5,2010-01-11,223.30999755859375,224.17999267578125,222.22999572753906,222.22999572753906,222.22999572753906,155400
6,2010-01-12,222.5,223.38999938964844,220.86000061035156,223.0399932861328,223.0399932861328,121200
7,2010-01-13,220.82000732421875,221.4600067138672,219.00999450683594,219.1699981689453,219.1699981689453,116000
8,2010-01-14,220.38999938964844,222.24000549316406,219.8800048828125,221.19000244140625,221.19000244140625,0
9,2010-01-15,222.3300018310547,223.69000244140625,221.1199951171875,223.2100067138672,223.2100067138672,157000
10,2010-01-18,222.25999450683594,225.19000244140625,221.2100067138672,224.3800048828125,224.3800048828125,156000
11,2010-01-19,225.44000244140625,226.10000610351562,223.5500030517578,224.1300048828125,224.1300048828125,129400
12,2010-01-20,225.8699951171875,225.97000122070312,223.8800048828125,224.8300018310547,224.8300018310547,171800
13,2010-01-21,223.02999877929688,226.16000366210938,222.41000366210938,226.16000366210938,226.16000366210938,127200
14,2010-01-22,222.58999633789062,223.89999389648438,218.22000122070312,220.67999267578125,220.67999267578125,154800
15,2010-01-25,217.72000122070312,220.64999389648438,217.3699951171875,219.3300018310547,219.3300018310547,126000
16,2010-01-26,219.08999633789062,219.41000366210938,213.52000427246094,214.88999938964844,214.88999938964844,0
17,2010-01-27,215.3800048828125,215.6300048828125,212.50999450683594,213.02000427246094,213.02000427246094,120000
18,2010-01-28,213.94000244140625,216.64999389648438,212.52999877929688,215.6699981689453,215.6699981689453,0
19,2010-01-29,212.77000427246094,213.6300048828125,209.39999389648438,210.33999633789062,210.33999633789062,113800
20,2010-02-01,210.52999877929688,211.67999267578125,208.77000427246094,210.75999450683594,210.75999450683594,104400
21,2010-02-02,212.36000061035156,212.36000061035156,208.5500030517578,209.27000427246094,209.27000427246094,116400
